artikel,begroting.ontwerp,begroting.suppl.1,begroting.suppl.2,begroting.vastgesteld,hoofdstuk,hoofdstuknummer,jaar,label,omschrijving,realisatie,saldo,uvo
12,2355030,2511373.0,2260012.0,2365030,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,Hoofdwegennet,2231569.0,28443.0,U
13,2228915,2453768.0,2159168.0,2218915,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,Spoorwegen,2154280.0,4888.0,U
14,216332,218344.0,237249.0,216332,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,"Regionaal, lokale infra",236352.0,897.0,U
15,872578,984370.0,905345.0,872578,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,Hoofdvaarwegennet,899296.0,6049.0,U
17,181174,263406.0,130780.0,181174,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,Megaprojecten Verkeer en Vervoer,112472.0,18308.0,U
18,24292,-291867.0,3043.0,24292,"A, Infrastructuurfonds",A,2017,Infrastructuurfonds,Overige uitgaven en ontvangsten,2113.0,930.0,U
2,91859,94195.0,93945.0,91859,"B, Gemeentefonds",B,2017,Gemeentefonds,Onderzoek en bijdragen,92764.0,1181.0,U
3,17544076,17918322.0,18083986.0,17544076,"B, Gemeentefonds",B,2017,Gemeentefonds,Programma,17982905.0,101081.0,U
4,9507234,9809439.0,9830883.0,9557234,"B, Gemeentefonds",B,2017,Gemeentefonds,Integratie-uitkering sociaal Domein,9830578.0,305.0,U
1,2199585,2285224.0,2569564.0,2199585,"C, Provinciefonds",C,2017,Provinciefonds,Provinciefonds,2569563.0,1.0,U
1,32550,44246.0,44072.0,32550,"F, Diergezondheidsfonds",F,2017,Diergezondheidsfonds,Bewaking en bestrijding van dierziekten,57997.0,-13925.0,U
1,32650,41534.0,41552.0,32650,"H, BES-fonds",H,2017,BES-fonds,BES-fonds,40985.0,567.0,U
1,8009,8009.0,8009.0,8009,"I, De Koning",I,2017,De Koning,Uitkering leden Koninklijk Huis,7961.0,48.0,U
2,27684,28289.0,28289.0,27684,"I, De Koning",I,2017,De Koning,Functionele uitgaven van de Koning,28289.0,0.0,U
3,5728,5847.0,5886.0,5728,"I, De Koning",I,2017,De Koning,Doorbelaste uitgaven van andere begrotingen,5787.0,99.0,U
1,11940,12070.0,12330.0,11940,"IIA, Staten-Generaal",IIA,2017,Staten-Generaal,Wetgeving en controle Eerste Kamer,10889.0,1441.0,U
2,31675,31675.0,32390.0,31675,"IIA, Staten-Generaal",IIA,2017,Staten-Generaal,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,33580.0,-1190.0,U
3,101005,103471.0,104293.0,101005,"IIA, Staten-Generaal",IIA,2017,Staten-Generaal,Wetgeving en controle Tweede Kamer,105349.0,-1056.0,U
4,1472,1472.0,1484.0,1472,"IIA, Staten-Generaal",IIA,2017,Staten-Generaal,Wetgeving en controle Eerste en Tweede Kamer,1008.0,476.0,U
10,-1912,1297.0,-1912.0,-1912,"IIA, Staten-Generaal",IIA,2017,Staten-Generaal,Nominaal en onvoorzien,0.0,-1912.0,U
1,59314,58016.0,56603.0,59314,"IIB, Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad",IIB,2017,"Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad",Raad van State,56173.0,430.0,U
2,28047,29379.0,28906.0,28047,"IIB, Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad",IIB,2017,"Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad",Algemene Rekenkamer,28576.0,330.0,U
