begrotingNL;begrotingEN;artikelnr;artikelNL;artikelEN
De Koning;The King;1;Grondwettelijke uitkering aan de leden van het koninklijk huis;Allowance to Royal Family members
De Koning;The King;2;Functionele uitgaven van de Koning;The King's functional expenses
De Koning;The King;3;Doorbelaste uitgaven van andere begrotingen;Functional expenses charged on other budgets
De Staten Generaal;Bicameral Parliament;1;Wetgeving en controle Eerste Kamer;Legislation and oversight by the Senate
De Staten Generaal;Bicameral Parliament;2;Uitgaven ten behoeve van leden en oud-leden Tweede Kamer, alsmede leden van het Europees Parlement;Expenses to (former) MP's and members of the European Parliament
De Staten Generaal;Bicameral Parliament;3;Wetgeving en controle Tweede Kamer;Legislation and oversight House of Representatives
De Staten Generaal;Bicameral Parliament;4;Wetgeving en controle Eerste en Tweede Kamer;Legislation and oversight Senate and House of Representatives
De Staten Generaal;Bicameral Parliament;10;Nominaal en onvoorzien;Nominal expenses and contingies
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;1;Raad van State;Council of State
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;2;Algemene Rekenkamer;Netherlands Court of Audit
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;3;De Nationale ombudsman;National Ombudsman
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;4;Kanselarij der Nederlandse Orden;Civil Honours Advisory Commission
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;6;Kabinet van de Gouverneur van Aruba;Governor's Cabinet of Aruba
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;7;Kabinet van de Gouverneur van Curaçao;Governor's Cabinet of Curaçao
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;8;Kabinet van de Gouverneur van Sint Maarten;Governor's Cabinet of Sint Maarten
Overige Hoge Colleges van Staat;Higher State Councils and Governors' Cabinets;10;Nominaal en onvoorzien;Nominal expenses and contingies
Algemene Zaken;General Affairs;1;Eenheid van het algemeen regeringsbeleid;
Algemene Zaken;General Affairs;3;Nominaal en onvoorzien;Nominal expenses and contingies
Algemene Zaken;General Affairs;4;Kabinet van de Koning;Cabinet of the King
Algemene Zaken;General Affairs;5;Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten;Commission of Inspection on Intelligence and Security Services
Koninkrijksrelaties;Kingdom Relations;1;Waarborgfunctie;Governance
Koninkrijksrelaties;Kingdom Relations;2;Bevorderen autonomie Koninkrijkspartners;Stimulating autonomy
Koninkrijksrelaties;Kingdom Relations;3;Nominaal en onvoorzien;Nominal expenses and contingies
Koninkrijksrelaties;Kingdom Relations;4;Bevorderen sociaal-economische structuur;Stimulating social economic structure
Koninkrijksrelaties;Kingdom Relations;5;Schuldsanering/lopende inschrijving/leningen;Debt restructuring
Koninkrijksrelaties;Kingdom Relations;6;Apparaat;Organizational expenses ministry
Koninkrijksrelaties;Kingdom Relations;7;Nominaal en onvoorzien;Nominal expenses and contingies
Buitenlandse Zaken;Foreign Affairs;41;Versterkte internationale rechtsorde en eerbiediging van mensenrechten;Strenthening the international legal order and the international upholding of human rights
Buitenlandse Zaken;Foreign Affairs;42;Veiligheid en stabiliteit;Safety and stability
Buitenlandse Zaken;Foreign Affairs;43;Europese samenwerking;European cooperation
Buitenlandse Zaken;Foreign Affairs;44;Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen;Consular represantation and communicating of values and interests of the Netherlands internationally
Buitenlandse Zaken;Foreign Affairs;45;Geheim;Classified
