knelpunt_nummer,knelpunt_naam,knelpunt_omschrijving,rapport_nummer,rapport_naam,rapport_bestandsnaam,maatregel_nummer,maatregel_naam,toelichting_budgettair_effect,budgettair_effect_structureel,range_maximum
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,1,Lagere premies werknemersverzekeringen of door lagere loon- en inkomensheffing,Nader te bepalen,-, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,2,Fiscalisering AOW, ,4, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,3,Verlagen aftoppingsgrens pensioensparen naar € 80.000 of € 60.000, ,0.1,0.3
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,4,Invoeren grondbelasting,Nader te bepalen,-, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,5,Verhoging verlaagd btw-tarief naar 12%, ,3.1, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,6,Groter belastinggebied gemeenten door herinvoeren OZB-gebruikers woningen in combinatie met lagere lasten op arbeid, ,0, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,7,Groter belastinggebied gemeenten door invoeren ingezetenenheffing in combinatie met lagere lasten op arbeid, ,0, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,8,Verbreden belastinggrondslag OZB, ,2, 
1, Steeds hogere lastendruk voor werkenden,Belastingen op arbeid zijn economisch verstorend. De belasting op arbeid is sterk opgelopen en zal ook de komende decennia oplopen door stijgende zorgkosten die leiden tot hogere zorgpremies. Daarnaast verandert de grondslag van de belasting op arbeid sterk door de vergrijzing en de toename van zelfstandig ondernemers. Het  aandeel van werknemers in de grondslag neemt daardoor af en de lasten worden door een steeds kleinere groep gedragen. ,1, De Nederlandse belastingmix,1. de-nederlandse-belastingmix.pdf,9,Moderniseren en uitbreiden overige gemeentelijke belastingen, ,0, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,2, Box 1,2. belasten-van-inkomsten-in-box-1.pdf,10,Arbeidskorting inkomensonafhankelijk maken en generiek verlagen, ,0, 
